label,narrow_cpr_pct,proximity_pct,max_wick_pct,st_period,st_mult,total_trades,win_rate,total_pnl,pnl_pct,profit_factor,max_drawdown,sharpe,avg_trades_per_day,exit_reasons
CPR1.0_PROX1.5_WICK25.0,1.0,1.5,25.0,7,3.0,6,16.67,-19475.0,-1.95,0.08,1.95,-2.7,0.05,"{'EOD': 4, 'CPR_BREACH': 2}"
CPR1.0_PROX1.5_WICK15.0,1.0,1.5,15.0,7,3.0,4,25.0,-10809.0,-1.08,0.13,1.08,-2.01,0.03,{'EOD': 4}
CPR1.0_PROX1.5_WICK40.0,1.0,1.5,40.0,7,3.0,11,9.09,-32912.0,-3.29,0.05,3.29,-2.81,0.09,"{'EOD': 6, 'CPR_BREACH': 5}"
CPR1.0_PROX2.0_WICK15.0,1.0,2.0,15.0,7,3.0,4,25.0,-10809.0,-1.08,0.13,1.08,-2.01,0.03,{'EOD': 4}
CPR1.0_PROX1.5_WICK40.0,1.0,1.5,40.0,7,3.0,11,9.09,-32912.0,-3.29,0.05,3.29,-2.81,0.09,"{'EOD': 6, 'CPR_BREACH': 5}"
CPR1.0_PROX2.0_WICK25.0,1.0,2.0,25.0,7,3.0,6,16.67,-19475.0,-1.95,0.08,1.95,-2.7,0.05,"{'EOD': 4, 'CPR_BREACH': 2}"
CPR1.0_PROX2.0_WICK40.0,1.0,2.0,40.0,7,3.0,11,9.09,-32912.0,-3.29,0.05,3.29,-2.81,0.09,"{'EOD': 6, 'CPR_BREACH': 5}"
CPR1.0_PROX3.0_WICK15.0,1.0,3.0,15.0,7,3.0,4,25.0,-10809.0,-1.08,0.13,1.08,-2.01,0.03,{'EOD': 4}
CPR0.5_PROX0.5_WICK15.0,0.5,0.5,15.0,7,3.0,10,40.0,5004.0,0.5,1.22,1.88,0.21,0.03,"{'EOD': 9, 'SL': 1}"
CPR1.0_PROX3.0_WICK25.0,1.0,3.0,25.0,7,3.0,7,14.29,-24791.0,-2.48,0.06,2.48,-3.07,0.06,"{'EOD': 4, 'CPR_BREACH': 3}"
CPR1.0_PROX3.0_WICK40.0,1.0,3.0,40.0,7,3.0,12,8.33,-38228.0,-3.82,0.04,3.82,-3.13,0.09,"{'EOD': 6, 'CPR_BREACH': 6}"
CPR1.0_PROX5.0_WICK15.0,1.0,5.0,15.0,7,3.0,4,25.0,-10809.0,-1.08,0.13,1.08,-2.01,0.03,{'EOD': 4}
CPR0.5_PROX0.5_WICK25.0,0.5,0.5,25.0,7,3.0,11,36.36,2682.0,0.27,1.11,1.88,0.11,0.03,"{'EOD': 10, 'SL': 1}"
CPR1.0_PROX5.0_WICK25.0,1.0,5.0,25.0,7,3.0,7,14.29,-24791.0,-2.48,0.06,2.48,-3.07,0.06,"{'EOD': 4, 'CPR_BREACH': 3}"
CPR1.0_PROX5.0_WICK40.0,1.0,5.0,40.0,7,3.0,13,7.69,-44219.0,-4.42,0.03,4.42,-2.79,0.1,"{'EOD': 7, 'CPR_BREACH': 6}"
CPR0.5_PROX0.5_WICK40.0,0.5,0.5,40.0,7,3.0,14,42.86,6307.0,0.63,1.24,2.02,0.26,0.04,"{'EOD': 13, 'SL': 1}"
CPR1.5_PROX0.5_WICK15.0,1.5,0.5,15.0,7,3.0,3,33.33,-5081.0,-0.51,0.24,0.51,-1.44,0.02,{'EOD': 3}
CPR1.5_PROX0.5_WICK25.0,1.5,0.5,25.0,7,3.0,5,20.0,-13748.0,-1.37,0.1,1.37,-2.29,0.04,"{'EOD': 3, 'CPR_BREACH': 2}"
CPR1.5_PROX0.5_WICK40.0,1.5,0.5,40.0,7,3.0,8,12.5,-20630.0,-2.06,0.07,2.06,-2.95,0.06,"{'EOD': 4, 'CPR_BREACH': 4}"
CPR0.5_PROX0.5_WICK40.0,0.5,0.5,40.0,7,3.0,14,42.86,6307.0,0.63,1.24,2.02,0.26,0.04,"{'EOD': 13, 'SL': 1}"
CPR0.5_PROX1.0_WICK15.0,0.5,1.0,15.0,7,3.0,13,46.15,6526.0,0.65,1.23,2.16,0.26,0.03,"{'EOD': 11, 'SUPERTREND_FLIP': 1, 'SL': 1}"
CPR1.5_PROX1.0_WICK15.0,1.5,1.0,15.0,7,3.0,5,20.0,-11320.0,-1.13,0.12,1.13,-2.11,0.04,{'EOD': 5}
CPR1.5_PROX1.0_WICK25.0,1.5,1.0,25.0,7,3.0,7,14.29,-19986.0,-2.0,0.07,2.0,-2.77,0.06,"{'EOD': 5, 'CPR_BREACH': 2}"
CPR1.5_PROX1.0_WICK40.0,1.5,1.0,40.0,7,3.0,12,8.33,-34591.0,-3.46,0.04,3.46,-2.95,0.09,"{'EOD': 7, 'CPR_BREACH': 5}"
CPR0.5_PROX1.0_WICK15.0,0.5,1.0,15.0,7,3.0,13,46.15,6526.0,0.65,1.23,2.16,0.26,0.03,"{'EOD': 11, 'SUPERTREND_FLIP': 1, 'SL': 1}"
CPR0.5_PROX1.0_WICK25.0,0.5,1.0,25.0,7,3.0,15,46.67,14867.0,1.49,1.48,2.1,0.51,0.04,"{'EOD': 13, 'SUPERTREND_FLIP': 1, 'SL': 1}"
CPR1.5_PROX1.5_WICK15.0,1.5,1.5,15.0,7,3.0,5,20.0,-11320.0,-1.13,0.12,1.13,-2.11,0.04,{'EOD': 5}
CPR1.5_PROX1.5_WICK25.0,1.5,1.5,25.0,7,3.0,7,14.29,-19986.0,-2.0,0.07,2.0,-2.77,0.06,"{'EOD': 5, 'CPR_BREACH': 2}"
CPR1.5_PROX1.5_WICK40.0,1.5,1.5,40.0,7,3.0,14,7.14,-42596.0,-4.26,0.04,4.26,-2.95,0.11,"{'EOD': 7, 'CPR_BREACH': 7}"
CPR0.5_PROX1.0_WICK25.0,0.5,1.0,25.0,7,3.0,15,46.67,14867.0,1.49,1.48,2.1,0.51,0.04,"{'EOD': 13, 'SUPERTREND_FLIP': 1, 'SL': 1}"
CPR0.5_PROX1.0_WICK40.0,0.5,1.0,40.0,7,3.0,19,47.37,11188.0,1.12,1.28,2.25,0.36,0.05,"{'EOD': 16, 'SUPERTREND_FLIP': 1, 'SL': 2}"
CPR1.5_PROX2.0_WICK15.0,1.5,2.0,15.0,7,3.0,5,20.0,-11320.0,-1.13,0.12,1.13,-2.11,0.04,{'EOD': 5}
CPR1.5_PROX2.0_WICK25.0,1.5,2.0,25.0,7,3.0,7,14.29,-19986.0,-2.0,0.07,2.0,-2.77,0.06,"{'EOD': 5, 'CPR_BREACH': 2}"
CPR0.5_PROX1.0_WICK40.0,0.5,1.0,40.0,7,3.0,19,47.37,11188.0,1.12,1.28,2.25,0.36,0.05,"{'EOD': 16, 'SUPERTREND_FLIP': 1, 'SL': 2}"
CPR1.5_PROX2.0_WICK40.0,1.5,2.0,40.0,7,3.0,14,7.14,-42596.0,-4.26,0.04,4.26,-2.95,0.11,"{'EOD': 7, 'CPR_BREACH': 7}"
CPR0.5_PROX1.5_WICK15.0,0.5,1.5,15.0,7,3.0,16,56.25,11225.0,1.12,1.39,1.97,0.43,0.04,"{'EOD': 14, 'SUPERTREND_FLIP': 1, 'SL': 1}"
CPR1.5_PROX3.0_WICK15.0,1.5,3.0,15.0,7,3.0,5,20.0,-11320.0,-1.13,0.12,1.13,-2.11,0.04,{'EOD': 5}
CPR0.5_PROX1.5_WICK15.0,0.5,1.5,15.0,7,3.0,16,56.25,11225.0,1.12,1.39,1.97,0.43,0.04,"{'EOD': 14, 'SUPERTREND_FLIP': 1, 'SL': 1}"
CPR1.5_PROX3.0_WICK25.0,1.5,3.0,25.0,7,3.0,8,12.5,-25302.0,-2.53,0.06,2.53,-3.13,0.06,"{'EOD': 5, 'CPR_BREACH': 3}"
CPR0.5_PROX1.5_WICK15.0,0.5,1.5,15.0,7,3.0,16,56.25,11225.0,1.12,1.39,1.97,0.43,0.04,"{'EOD': 14, 'SUPERTREND_FLIP': 1, 'SL': 1}"
CPR1.5_PROX3.0_WICK40.0,1.5,3.0,40.0,7,3.0,15,6.67,-47912.0,-4.79,0.03,4.79,-3.23,0.12,"{'EOD': 7, 'CPR_BREACH': 8}"
CPR0.5_PROX1.5_WICK25.0,0.5,1.5,25.0,7,3.0,18,55.56,19567.0,1.96,1.63,1.97,0.67,0.05,"{'EOD': 16, 'SUPERTREND_FLIP': 1, 'SL': 1}"
CPR1.5_PROX5.0_WICK15.0,1.5,5.0,15.0,7,3.0,5,20.0,-11320.0,-1.13,0.12,1.13,-2.11,0.04,{'EOD': 5}
CPR0.5_PROX1.5_WICK25.0,0.5,1.5,25.0,7,3.0,18,55.56,19567.0,1.96,1.63,1.97,0.67,0.05,"{'EOD': 16, 'SUPERTREND_FLIP': 1, 'SL': 1}"
CPR1.5_PROX5.0_WICK25.0,1.5,5.0,25.0,7,3.0,8,12.5,-25302.0,-2.53,0.06,2.53,-3.13,0.06,"{'EOD': 5, 'CPR_BREACH': 3}"
CPR0.5_PROX1.5_WICK25.0,0.5,1.5,25.0,7,3.0,18,55.56,19567.0,1.96,1.63,1.97,0.67,0.05,"{'EOD': 16, 'SUPERTREND_FLIP': 1, 'SL': 1}"
CPR1.5_PROX5.0_WICK40.0,1.5,5.0,40.0,7,3.0,16,6.25,-53903.0,-5.39,0.03,5.39,-3.01,0.13,"{'EOD': 8, 'CPR_BREACH': 8}"
CPR0.5_PROX1.5_WICK40.0,0.5,1.5,40.0,7,3.0,22,54.55,15888.0,1.59,1.4,2.11,0.51,0.06,"{'EOD': 19, 'SUPERTREND_FLIP': 1, 'SL': 2}"
CPR0.5_PROX1.5_WICK40.0,0.5,1.5,40.0,7,3.0,22,54.55,15888.0,1.59,1.4,2.11,0.51,0.06,"{'EOD': 19, 'SUPERTREND_FLIP': 1, 'SL': 2}"
CPR2.0_PROX0.5_WICK15.0,2.0,0.5,15.0,7,3.0,4,50.0,-4023.0,-0.4,0.4,0.51,-1.11,0.03,"{'EOD': 3, 'CPR_BREACH': 1}"
CPR2.0_PROX0.5_WICK25.0,2.0,0.5,25.0,7,3.0,6,33.33,-12689.0,-1.27,0.17,1.37,-2.09,0.05,"{'EOD': 3, 'CPR_BREACH': 3}"
CPR0.5_PROX1.5_WICK40.0,0.5,1.5,40.0,7,3.0,22,54.55,15888.0,1.59,1.4,2.11,0.51,0.06,"{'EOD': 19, 'SUPERTREND_FLIP': 1, 'SL': 2}"
