symbol,system,direction,entry_time,exit_time,entry_price,exit_price,bars_held,gross_ret_pct,net_ret_pct,exit_reason,capital_used,risk_rs,nav_at_entry,nav_after,exit_date
AMBER,SHORT,short,2024-03-18 09:50:00,2024-03-18 09:50:00,3405.25,3388.22375,0,0.4999999999999968,0.3999999999999968,TP,200000.0,3000.0,1000000.0,1000800.0,2024-03-18
SJVN,SHORT,short,2024-03-18 09:50:00,2024-03-18 10:25:00,126.0,127.88999999999999,7,-1.4999999999999891,-1.5999999999999892,SL,200000.0,3000.0,1000000.0,997600.0,2024-03-18
TCIEXP,SHORT,short,2024-03-18 09:50:00,2024-03-18 10:10:00,1010.5,1005.4475,4,0.5000000000000009,0.4000000000000009,TP,200000.0,3000.0,1000800.0,998400.0,2024-03-18
RAIN,SHORT,short,2024-03-18 09:50:00,2024-03-18 10:55:00,159.7,158.9015,13,0.4999999999999938,0.3999999999999938,TP,200000.0,3000.0,1000800.0,999200.0,2024-03-18
BANDHANBNK,SHORT,short,2024-03-18 09:50:00,2024-03-18 10:55:00,183.85,182.93075,13,0.5000000000000029,0.4000000000000029,TP,200000.0,3000.0,1000800.0,1000000.0,2024-03-18
KNRCON,SHORT,short,2024-03-18 09:50:00,2024-03-18 14:50:00,238.75,238.45,60,0.12565445026178487,0.025654450261784867,EOD,200000.0,3000.0,1000800.0,1000051.3089005236,2024-03-18
ALKEM,LONG_MR,long,2024-03-18 12:00:00,2024-03-18 12:20:00,4949.2,4973.945999999999,4,0.4999999999999835,0.3999999999999835,TP,200000.0,3000.0,1000000.0,1000851.3089005236,2024-03-18
MGL,LONG_TC,long,2024-03-21 09:55:00,2024-03-21 10:00:00,1301.25,1307.75625,1,0.499999999999993,0.39999999999999303,TP,200000.0,3000.0,1000851.3089005236,1001651.3089005236,2024-03-21
PNBHOUSING,LONG_TC,long,2024-03-21 09:55:00,2024-03-21 10:05:00,634.5,637.6724999999999,2,0.49999999999998423,0.39999999999998426,TP,200000.0,3000.0,1000851.3089005236,1002451.3089005236,2024-03-21
JKCEMENT,LONG_TC,long,2024-03-21 09:55:00,2024-03-21 10:25:00,4065.25,4085.5762499999996,6,0.4999999999999906,0.3999999999999906,TP,200000.0,3000.0,1000851.3089005236,1003251.3089005236,2024-03-21
WELCORP,LONG_TC,long,2024-03-21 09:55:00,2024-03-21 10:25:00,517.2,519.786,6,0.4999999999999804,0.39999999999998037,TP,200000.0,3000.0,1000851.3089005236,1004051.3089005236,2024-03-21
BANDHANBNK,LONG_TC,long,2024-03-21 09:55:00,2024-03-21 14:55:00,181.65,180.3,60,-0.7431874483897574,-0.8431874483897573,EOD,200000.0,3000.0,1000851.3089005236,1002364.934003744,2024-03-21
CHOLAFIN,LONG_TC,long,2024-03-21 10:00:00,2024-03-21 14:30:00,1055.0,1060.2749999999999,54,0.49999999999998707,0.39999999999998703,TP,200000.0,3000.0,1001651.3089005236,1003164.934003744,2024-03-21
