symbol,system,direction,entry_time,exit_time,entry_price,exit_price,bars_held,gross_ret_pct,net_ret_pct,exit_reason,capital_used,risk_rs,nav_at_entry,nav_after,exit_date
SJVN,SHORT,short,2024-03-18 09:50:00,2024-03-18 09:50:00,126.0,126.62999999999998,0,-0.49999999999998507,-0.6999999999999851,SL,600000.0,3000.0,1000000.0,995800.0000000001,2024-03-18
RAIN,SHORT,short,2024-03-18 09:50:00,2024-03-18 09:50:00,159.7,160.49849999999998,0,-0.4999999999999938,-0.6999999999999937,SL,600000.0,3000.0,995800.0000000001,991600.0000000001,2024-03-18
AMBER,SHORT,short,2024-03-18 09:50:00,2024-03-18 09:55:00,3405.25,3371.1974999999998,1,1.0000000000000069,0.8000000000000069,TP,600000.0,3000.0,995800.0000000001,996400.0000000001,2024-03-18
TCIEXP,SHORT,short,2024-03-18 09:50:00,2024-03-18 10:30:00,1010.5,1015.5524999999999,8,-0.4999999999999897,-0.6999999999999897,SL,600000.0,3000.0,995800.0000000001,992200.0000000002,2024-03-18
KNRCON,SHORT,short,2024-03-18 09:50:00,2024-03-18 09:55:00,238.75,239.94374999999997,1,-0.4999999999999857,-0.6999999999999857,SL,600000.0,3000.0,991600.0000000001,988000.0000000003,2024-03-18
BANDHANBNK,SHORT,short,2024-03-18 09:50:00,2024-03-18 09:55:00,183.85,184.76924999999997,1,-0.49999999999998745,-0.6999999999999875,SL,600000.0,3000.0,991600.0000000001,983800.0000000005,2024-03-18
ALKEM,LONG_MR,long,2024-03-18 12:00:00,2024-03-18 15:25:00,4949.2,4998.692,41,1.0000000000000038,0.8000000000000038,TP,600000.0,3000.0,983800.0000000005,988600.0000000005,2024-03-18
JKCEMENT,LONG_TC,long,2024-03-21 09:55:00,2024-03-21 10:50:00,4065.25,4105.9025,11,1.0000000000000036,0.8000000000000036,TP,600000.0,3000.0,988600.0000000005,993400.0000000005,2024-03-21
PNBHOUSING,LONG_TC,long,2024-03-21 09:55:00,2024-03-21 10:50:00,634.5,640.845,11,1.0000000000000044,0.8000000000000045,TP,600000.0,3000.0,988600.0000000005,998200.0000000005,2024-03-21
WELCORP,LONG_TC,long,2024-03-21 09:55:00,2024-03-21 10:40:00,517.2,522.3720000000001,9,1.0000000000000049,0.8000000000000049,TP,600000.0,3000.0,988600.0000000005,1003000.0000000005,2024-03-21
BANDHANBNK,LONG_TC,long,2024-03-21 09:55:00,2024-03-21 10:40:00,181.65,180.74175,9,-0.5000000000000052,-0.7000000000000053,SL,600000.0,3000.0,988600.0000000005,998800.0000000005,2024-03-21
MGL,LONG_TC,long,2024-03-21 09:55:00,2024-03-21 11:40:00,1301.25,1294.74375,21,-0.499999999999993,-0.6999999999999931,SL,600000.0,3000.0,988600.0000000005,994600.0000000005,2024-03-21
DBL,LONG_TC,long,2024-03-27 10:00:00,2024-03-27 10:05:00,423.7,427.937,1,1.0000000000000056,0.8000000000000056,TP,600000.0,3000.0,994600.0000000005,999400.0000000005,2024-03-27
TIINDIA,SHORT,short,2024-04-04 09:50:00,2024-04-04 10:05:00,3662.95,3681.2647499999994,3,-0.4999999999999877,-0.6999999999999877,SL,600000.0,3000.0,999400.0000000005,995200.0000000006,2024-04-04
SOBHA,LONG_TC,long,2024-04-08 10:00:00,2024-04-08 10:00:00,1535.85,1528.17075,0,-0.4999999999999942,-0.6999999999999942,SL,600000.0,3000.0,995200.0000000006,991000.0000000006,2024-04-08
