underlying,timeframe,atr_period,multiplier,label,n_flips,flips_per_month,avg_trend_bars,avg_trend_cal_days,median_trend_cal_days,pct_bars_long,pct_bars_short,dominant_direction_pct,mean_mae_pts,mean_mfe_pts,mfe_mae_ratio,weekly_alignment_pct,total_bars,calendar_days_span,passed_gates,score
NIFTY50,60min,50,5.0,NIFTY50_60min_p50_m5.0,50,2.084760273972603,67.72,13.626666666666665,9.5,0.5495783658040128,0.43588252398953187,0.5495783658040128,263.2019921875,673.8080859375,2.560041739568187,0.78,3439,730,1,0.88996331974532
NIFTY50,60min,30,5.0,NIFTY50_60min_p30_m5.0,50,2.084760273972603,68.14,13.698333333333332,10.125,0.5478336725792381,0.44344286129688865,0.5478336725792381,267.7100390625,665.3480078125,2.485330808446697,0.8,3439,730,1,0.862639845229675
NIFTY50,60min,21,5.0,NIFTY50_60min_p21_m5.0,54,2.251541095890411,63.25925925925926,12.837962962962964,9.625,0.5359116022099447,0.457981971503344,0.5359116022099447,272.59273726851853,621.2286964699074,2.2789627584903838,0.7777777777777778,3439,730,1,0.7345947661079275
NIFTY50,60min,21,4.0,NIFTY50_60min_p21_m4.0,72,3.0020547945205482,47.388888888888886,9.528935185185183,7.020833333333334,0.5670252980517593,0.4268682756615295,0.5670252980517593,243.44718424479166,545.0688205295139,2.2389612852594545,0.625,3439,730,1,0.655301837408066
NIFTY50,60min,30,4.0,NIFTY50_60min_p30_m4.0,74,3.085445205479452,45.986486486486484,9.255630630630632,6.583333333333334,0.5862169235242803,0.40505961035184646,0.5862169235242803,244.9789643158784,529.5872835726351,2.16176635839549,0.6216216216216216,3439,730,1,0.6541499616048674
NIFTY50,60min,14,5.0,NIFTY50_60min_p14_m5.0,56,2.334931506849315,61.107142857142854,12.407738095238093,8.75,0.5251526606571678,0.47077638848502473,0.5251526606571678,282.16971261160717,597.6294991629464,2.1179789057855203,0.7678571428571429,3439,730,1,0.6425208064016564
NIFTY50,60min,10,3.5,NIFTY50_60min_p10_m3.5,82,3.419006849315069,41.74390243902439,8.362296747967479,6.166666666666666,0.5437627217214307,0.45332945623727827,0.5437627217214307,216.8047589557927,507.4475990853659,2.340574079321,0.573170731707317,3439,730,1,0.6031909046291102
NIFTY50,60min,14,3.5,NIFTY50_60min_p14_m3.5,84,3.502397260273973,40.70238095238095,8.10763888888889,6.104166666666666,0.5606280895609189,0.4353009595812736,0.5606280895609189,219.52783203125,495.95361328125,2.2591833057899033,0.5714285714285714,3439,730,1,0.5975531948819497
NIFTY50,60min,50,4.0,NIFTY50_60min_p50_m4.0,76,3.1688356164383564,44.51315789473684,8.930921052631579,6.0,0.5818551904623437,0.40360569933120094,0.5818551904623437,255.04731188322367,517.6409076891447,2.0295877806630345,0.5526315789473685,3439,730,1,0.5893557296489711
NIFTY50,60min,14,4.0,NIFTY50_60min_p14_m4.0,74,3.085445205479452,46.2027027027027,9.266328828828827,6.5625,0.5437627217214307,0.45216632742076185,0.5437627217214307,241.85399070945945,519.9136138091217,2.1497003720467727,0.6081081081081081,3439,730,1,0.5715327888550681
