symbol,mode,ipo_short_window,series_hash,split_cut,hist_bars,left_rim_date,left_rim_level,trough_date,trough_close,depth_pct,base_len_bars,trough_pos,fit_r2,fit_curvature,vertex_frac,flat_frac,vol_ratio,obv_gain,obv_filter_pass,base_qualify_date,tv20_cr_at_q,shelf_start_date,shelf_high,shelf_low,shelf_range_pct,shelf_S,shelf_ok_s20,shelf_ok_s30,ath_before_breakout,dist_to_ath_pct,ath_ge_095,ath_new_high,trigger_date,trigger_close,vol_multiple,volx_ge_5,volx_ge_9,days_q_to_trigger,trigger_day_move_pct,tv20_cr_at_trigger,entry_date,entry_open,pattern_quality,info_fwd60_pct,info_fwd120_pct,info_fwd250_pct,info_st73_exit_date,info_st73_ret_pct,info_st73_bars_held,info_st73_still_open,info_mfe_250_pct,info_mae_250_pct
3MINDIA,L120,0,70ca8188602b,0,3497,2018-08-30,26007.45,2018-10-26,19360.6,25.56,120,0.37,0.706,3.609e-05,0.699,0.55,0.681,0.1076,0,2019-02-14,3.05,2019-02-13,23648.35,20859.6,11.79,15,0,0,26007.45,-8.36,0,0,2019-03-07,23834.5,2.49,0,0,14,2.5,6.13,2019-03-08,23988.1,0.3014,-6.21,-15.17,-17.95,2019-04-30,-4.42,34,0,6.05,-30.17
3MINDIA,L180,0,70ca8188602b,0,5189,2024-11-01,36166.8,2025-03-04,25982.5,28.16,180,0.592,0.781,1.692e-05,0.668,0.4,0.664,0.0373,0,2025-06-23,8.07,2025-12-11,36000.0,34315.0,4.68,15,1,1,40020.6,-9.62,0,0,2026-01-02,36170.0,3.17,0,0,133,0.47,8.84,2026-01-05,36360.0,0.3059,-18.22,-6.6,-9.69,2026-01-20,-8.21,11,0,4.59,-20.98
3MINDIA,L250,0,70ca8188602b,0,5189,2024-08-02,39413.25,2025-03-04,25982.5,34.08,250,0.59,0.836,9.925e-06,0.697,0.532,0.814,0.2072,0,2025-08-01,18.49,2025-12-11,36000.0,34315.0,4.68,15,1,1,40020.6,-9.62,0,0,2026-01-02,36170.0,3.17,0,0,104,0.47,8.84,2026-01-05,36360.0,0.5533,-18.22,-6.6,-9.69,2026-01-20,-8.21,11,0,4.59,-20.98
3MINDIA,VAR,0,70ca8188602b,0,5189,2024-08-02,39413.25,2025-03-04,25982.5,34.08,250,0.59,0.836,9.925e-06,0.697,0.532,0.814,0.2072,0,2025-08-01,18.49,2025-12-11,36000.0,34315.0,4.68,15,1,1,40020.6,-9.62,0,0,2026-01-02,36170.0,3.17,0,0,104,0.47,8.84,2026-01-05,36360.0,0.5533,-18.22,-6.6,-9.69,2026-01-20,-8.21,11,0,4.59,-20.98
5PAISA,L120,0,64bc97d69e34,0,899,2021-01-12,377.3,2021-02-23,243.25,35.53,120,0.345,0.703,7.775e-05,0.339,0.417,1.63,0.2955,1,2021-06-21,2.75,2021-06-16,436.15,415.8,4.67,15,0,0,444.65,2.99,1,1,2021-07-07,457.95,3.53,0,0,12,5.0,1.78,2021-07-08,467.0,0.291,0.14,-15.76,-41.56,2021-08-18,1.04,29,0,24.2,-43.29
AAKASH,VAR,0,632d8ed3050f,0,514,2021-09-06,29.19,2021-10-28,17.98,38.4,90,0.404,0.739,1.867e-04,0.498,0.433,1.116,0.4143,0,2022-01-13,3.72,2022-01-10,27.0,25.27,6.41,15,1,0,29.19,-5.17,0,0,2022-02-01,27.68,2.64,0,0,12,6.13,2.11,2022-02-02,28.39,0.4128,3.91,-51.74,-77.28,2022-03-16,-4.37,30,0,19.06,-78.51
ABBOTINDIA,L180,0,7fe16b347fc6,0,3200,2021-10-05,23184.5,2022-02-08,15562.6,32.87,180,0.542,0.819,1.809e-05,0.697,0.55,1.088,0.1413,0,2022-06-09,24.73,2022-11-30,20898.7,20059.4,4.02,15,1,1,23184.5,-7.06,0,0,2022-12-21,21548.5,3.6,0,0,133,3.11,23.54,2022-12-22,21550.0,0.581,-2.88,5.39,4.19,2023-01-30,-2.62,27,0,14.82,-7.66
ABBOTINDIA,L250,0,7fe16b347fc6,0,3200,2021-10-05,23184.5,2022-02-08,15562.6,32.87,250,0.422,0.702,1.346e-05,0.557,0.436,0.972,0.0911,0,2022-09-08,24.63,2022-11-30,20898.7,20059.4,4.02,15,1,1,23184.5,-7.06,0,0,2022-12-21,21548.5,3.6,0,0,71,3.11,23.54,2022-12-22,21550.0,0.2945,-2.88,5.39,4.19,2023-01-30,-2.62,27,0,14.82,-7.66
ABBOTINDIA,VAR,0,7fe16b347fc6,0,3200,2021-10-05,23184.5,2022-02-08,15562.6,32.87,159,0.544,0.829,2.203e-05,0.699,0.566,1.137,0.1075,0,2022-05-26,16.79,2022-11-30,20898.7,20059.4,4.02,15,1,1,23184.5,-7.06,0,0,2022-12-21,21548.5,3.6,0,0,143,3.11,23.54,2022-12-22,21550.0,0.5992,-2.88,5.39,4.19,2023-01-30,-2.62,27,0,14.82,-7.66
ABDL,L120,0,aab61d38784b,0,256,2025-01-03,433.83,2025-05-02,302.23,30.33,120,0.697,0.82,1.047e-04,0.506,0.458,1.297,0.4618,1,2025-06-23,24.01,2025-06-23,447.25,424.05,5.19,15,1,0,447.25,8.76,1,1,2025-07-14,486.45,5.15,1,0,15,8.76,16.41,2025-07-15,488.8,0.4094,11.51,12.8,26.72,2025-12-02,22.46,96,0,45.6,-21.83
ABREL,L120,0,12998d025a92,1,927,2022-12-02,810.7,2023-02-24,606.4,25.2,120,0.622,0.819,3.888e-05,0.693,0.417,1.755,0.4104,1,2023-05-08,16.03,2023-06-13,878.3,783.05,10.84,15,1,1,1009.85,-8.05,0,0,2023-07-05,928.55,6.12,1,0,41,5.72,17.04,2023-07-06,928.0,0.4304,20.37,31.69,139.97,2023-10-23,14.42,75,0,160.78,-4.72
ABREL,L180,0,12998d025a92,1,927,2022-09-12,937.55,2023-02-24,606.4,35.32,180,0.682,0.746,2.264e-05,0.697,0.467,1.894,0.4616,1,2023-05-24,17.8,2023-06-13,878.3,783.05,10.84,15,1,1,1009.85,-8.05,0,0,2023-07-05,928.55,6.12,1,0,29,5.72,17.04,2023-07-06,928.0,0.4036,20.37,31.69,139.97,2023-10-23,14.42,75,0,160.78,-4.72
ABREL,VAR,0,12998d025a92,1,927,2022-09-12,937.55,2023-02-24,606.4,35.32,171,0.676,0.751,2.460e-05,0.695,0.491,2.074,0.4512,1,2023-05-22,20.99,2023-06-13,878.3,783.05,10.84,15,1,1,1009.85,-8.05,0,0,2023-07-05,928.55,6.12,1,0,31,5.72,17.04,2023-07-06,928.0,0.4422,20.37,31.69,139.97,2023-10-23,14.42,75,0,160.78,-4.72
ABSLAMC,L120,0,83fc23c016cb,0,930,2024-11-27,883.5,2025-03-13,591.2,33.08,120,0.639,0.878,5.627e-05,0.697,0.583,0.88,0.2335,0,2025-05-21,24.8,2025-06-19,817.3,735.25,10.04,15,1,1,883.5,-3.76,1,0,2025-07-10,850.3,4.84,0,0,36,4.05,18.09,2025-07-11,853.95,0.5948,-3.89,-2.38,29.33,2025-09-17,-4.39,47,0,39.94,-17.09
ABSLAMC,VAR,0,83fc23c016cb,0,930,2024-11-27,883.5,2025-03-13,591.2,33.08,119,0.636,0.882,5.811e-05,0.691,0.588,0.869,0.2335,0,2025-05-21,24.8,2025-06-19,817.3,735.25,10.04,15,1,1,883.5,-3.76,1,0,2025-07-10,850.3,4.84,0,0,36,4.05,18.09,2025-07-11,853.95,0.6028,-3.89,-2.38,29.33,2025-09-17,-4.39,47,0,39.94,-17.09
ACC,L120,0,b1f27164dea2,0,3036,2016-08-31,1709.8,2016-11-21,1272.25,25.59,120,0.479,0.771,4.288e-05,0.693,0.45,0.929,0.2454,0,2017-02-16,47.12,2017-03-30,1511.35,1418.95,6.11,15,1,1,1762.8,-8.84,0,0,2017-04-24,1607.0,6.83,1,0,43,7.46,46.41,2017-04-25,1610.05,0.4341,7.74,11.16,-4.02,2017-06-30,-2.61,47,0,16.14,-6.9
ACC,L180,0,b1f27164dea2,0,3036,2016-08-05,1721.05,2016-11-21,1272.25,26.08,180,0.458,0.704,1.768e-05,0.695,0.417,0.873,0.196,0,2017-04-11,37.76,2017-03-30,1511.35,1418.95,6.11,15,1,1,1762.8,-8.84,0,0,2017-04-24,1607.0,6.83,1,0,8,7.46,46.41,2017-04-25,1610.05,0.2972,7.74,11.16,-4.02,2017-06-30,-2.61,47,0,16.14,-6.9
ACC,L180,0,b1f27164dea2,0,4710,2022-12-14,2668.6,2023-03-28,1613.95,39.52,180,0.531,0.836,3.138e-05,0.7,0.667,1.056,0.3321,0,2023-08-01,94.45,2024-01-05,2467.65,2207.95,10.52,15,1,0,2747.7,-9.27,0,0,2024-01-29,2492.9,4.9,0,0,122,1.02,77.92,2024-01-30,2508.0,0.6899,1.0,4.44,-20.18,2024-03-13,-4.74,32,0,13.4,-26.69
