variant,symbol,entry_date,exit_date,entry_price,exit_price,qty,days_held,exit_reason,gross_pnl,net_pnl
baseline_252_25pct_8pct,DIVISLAB,2019-02-05,2019-02-15,1615.80,1538.54,61,10,INITIAL_STOP,-4712.71,-4905.13
baseline_252_25pct_8pct,WIPRO,2019-01-21,2019-03-22,125.30,127.75,798,60,MAX_HOLD,1955.10,1753.17
baseline_252_25pct_8pct,TECHM,2019-02-07,2019-03-27,767.00,725.83,130,48,INITIAL_STOP,-5352.44,-5546.51
baseline_252_25pct_8pct,AXISBANK,2019-01-31,2019-04-01,697.25,765.60,143,60,MAX_HOLD,9774.05,9564.86
baseline_252_25pct_8pct,TITAN,2019-02-05,2019-04-08,1026.95,1104.40,97,62,MAX_HOLD,7512.65,7305.91
baseline_252_25pct_8pct,GODREJPROP,2019-04-08,2019-04-09,983.80,905.10,101,1,INITIAL_STOP,-7949.10,-8139.88
baseline_252_25pct_8pct,PIDILITIND,2019-03-27,2019-05-08,615.00,584.67,162,42,INITIAL_STOP,-4912.69,-5107.03
baseline_252_25pct_8pct,SIEMENS,2019-04-04,2019-05-08,888.20,842.82,112,34,INITIAL_STOP,-5082.06,-5275.94
baseline_252_25pct_8pct,SHREECEM,2019-04-26,2019-05-10,20000.00,19077.42,5,14,INITIAL_STOP,-4612.88,-4808.26
baseline_252_25pct_8pct,HDFCBANK,2019-03-14,2019-05-13,561.20,571.80,177,60,MAX_HOLD,1876.20,1675.66
baseline_252_25pct_8pct,ULTRACEMCO,2019-04-26,2019-05-13,4630.00,4398.38,21,17,INITIAL_STOP,-4863.94,-5053.54
baseline_252_25pct_8pct,TRENT,2019-06-04,2019-06-17,412.50,385.48,237,13,INITIAL_STOP,-6404.70,-6593.82
baseline_252_25pct_8pct,APOLLOHOSP,2019-06-10,2019-06-26,1400.00,1304.20,70,16,INITIAL_STOP,-6705.95,-6895.24
baseline_252_25pct_8pct,GODREJPROP,2019-07-02,2019-07-03,1091.00,1003.72,88,1,INITIAL_STOP,-7680.64,-7864.98
baseline_252_25pct_8pct,BAJAJFINSV,2019-05-20,2019-07-08,805.60,769.09,121,49,INITIAL_STOP,-4417.64,-4608.18
